country_name,country_code,energy_use,pop,gdp
Albania,ALB,8480.0654,2837743,18916378861
Algeria,DZA,12958.346,43851043,2.2556E+11
Angola,AGO,6058.792,32866268,1.044E+11
Argentina,ARG,22430.227,45376763,6.31133E+11
Australia,AUS,67373.945,25687041,1.69296E+12
Austria,AUT,47115.41,8917205,4.70942E+11
Azerbaijan,AZE,14881.197,10110116,78807470588
Bangladesh,BGD,2404.6323,164689383,4.60132E+11
Bolivia,BOL,7398.2837,11673029,44008282880
Bosnia and Herzegovina,BIH,20342.27,3280815,24534663636
Brazil,BRA,15799.384,212559409,1.95192E+12
Cambodia,KHM,4306.1245,16718971,29504829319
China,CHN,22733.424,1402112000,1.78818E+13
Congo,COG,4563.229,5518092,15817030157
Cote d'Ivoire,CIV,5756.2998,26378275,70173140101
Cyprus,CYP,25531.664,1207361,29250532020
Dominican Republic,DOM,9032.8945,10847904,1.13537E+11
Ethiopia,ETH,5660.2085,114963583,1.26773E+11
Ghana,GHA,3476.3513,31072945,74263364042
Guatemala,GTM,8314.4063,16858333,95003330316
Honduras,HND,6381.7476,9904608,31426041807
Hungary,HUN,29876.877,9749763,1.77006E+11
Indonesia,IDN,10200.39,273523621,1.31908E+12
Iran,IRN,32208.861,83992953,4.13395E+11
Ireland,IRL,36657.801,4994724,5.3314E+11
Jamaica,JAM,11064.892,2961161,17097760687
Japan,JPN,45278.691,125836021,4.25641E+12
Kazakhstan,KAZ,49251.316,18754440,2.25496E+11
Kenya,KEN,5401.1279,53771300,1.1342E+11
Latvia,LVA,24988.842,1901548,40422521943
Lebanon,LBN,14976.81,6825442,20992421949
Luxembourg,LUX,96871.836,632275,81641807866
Malta,MLT,23403.232,525285,18357069273
Mauritius,MUS,12251.652,1265740,12927979286
Mexico,MEX,17814.334,128932753,1.46332E+12
Moldova,MDA,14254.706,2617820,14510490660
Mongolia,MNG,16857.316,3278292,17146471714
Montenegro,MNE,22077.094,621718,6229801581
Morocco,MAR,6141.8496,36910558,1.30913E+11
Mozambique,MOZ,4922.6035,31255435,18406835495
Myanmar,MMR,3222.5864,54409794,62253049892
Niger,NER,1574.1954,24206636,15433852712
North Macedonia,MKD,16295.738,2083380,13711469681
Norway,NOR,80649.289,5379475,5.93727E+11
Panama,PAN,11521.519,4314768,76522511781
Russia,RUS,56045.445,144104080,2.26603E+12
Serbia,SRB,24900.473,6908224,63563410721
Sri Lanka,LKA,5591.3765,21919000,74144875098
Sweden,SWE,63126.766,10353442,5.9041E+11
Syrian Arab Republic,SYR,11791.846,17500657,8980060819
Tajikistan,TJK,3361.9187,9537642,10713525200
Thailand,THA,20395.561,69799978,4.95645E+11
Tunisia,TUN,11243.42,11818618,44579761023
Turkiye,TUR,17150.391,84339067,9.07118E+11
Ukraine,UKR,33575.715,44134693,1.6199E+11
United Arab Emirates,ARE,83912.898,9890400,5.07064E+11
Uruguay,URY,14149.555,3473727,70164683290
Uzbekistan,UZB,17594.115,34232050,81140823252
Vietnam,VNM,7788.6099,97338583,4.10324E+11
Yemen,YEM,3933.9653,29825968,21606161066
